City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Sao Filipe,CV,71.06,clear sky,14.8961,-24.4956,Hotel Xaguate
5,Salinas,US,73.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
7,Atuona,PF,79.0,light rain,-9.8,-139.0333,Villa Enata
8,Muisne,EC,76.84,overcast clouds,0.6,-80.0333,Quinta Samay
9,Tura,IN,73.76,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
10,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Eyl,SO,82.27,overcast clouds,7.9803,49.8164,Amiin Hotel
20,Namibe,AO,71.42,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
24,Concepcion Del Oro,MX,80.98,overcast clouds,24.6333,-101.4167,Hotel Hacienda San Javier
26,Rikitea,PF,77.56,clear sky,-23.1203,-134.9692,People ThankYou
27,Tiarei,PF,87.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
29,Porlamar,VE,77.99,broken clouds,10.958,-63.8491,Hotel Bella Vista
32,Sur,OM,88.47,few clouds,22.5667,59.5289,Sur Plaza Hotel
35,Avera,US,76.51,few clouds,33.194,-82.5271,
36,Hilo,US,84.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
38,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
40,Paita,PE,73.18,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
43,Saint George,US,76.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
47,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Angoche,MZ,79.32,clear sky,-16.2325,39.9086,Guest House HESADA
60,Tessalit,ML,75.22,clear sky,20.1986,1.0114,
68,Karratha,AU,84.25,broken clouds,-20.7377,116.8463,ibis Styles Karratha
70,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
