City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,64.81,29,59,5.01,broken clouds
1,Kaseda,JP,31.4167,130.3167,57.83,54,84,16.22,broken clouds
2,Sao Filipe,CV,14.8961,-24.4956,71.06,78,4,8.79,clear sky
3,Pangnirtung,CA,66.1451,-65.7125,-0.4,71,0,3.44,clear sky
4,Pout,SN,14.7739,-17.0603,67.98,94,40,12.66,scattered clouds
5,Salinas,US,36.6777,-121.6555,73.99,58,0,19.57,clear sky
6,Gimli,CA,50.6336,-96.9907,21.22,53,100,14.97,overcast clouds
7,Atuona,PF,-9.8,-139.0333,79.0,78,19,15.43,light rain
8,Muisne,EC,0.6,-80.0333,76.84,86,96,7.99,overcast clouds
9,Tura,IN,25.5198,90.2201,73.76,93,70,10.22,broken clouds
10,Vaini,TO,-21.2,-175.2,84.36,70,20,8.05,few clouds
11,Ulaangom,MN,49.9811,92.0667,31.95,40,5,1.01,clear sky
12,Ushuaia,AR,-54.8,-68.3,46.06,81,75,23.02,light rain
13,Cape Town,ZA,-33.9258,18.4232,59.11,66,0,21.85,clear sky
14,Naushki,RU,50.3828,106.1056,37.51,46,86,2.44,overcast clouds
15,Qaanaaq,GL,77.484,-69.3632,-3.89,93,100,6.42,overcast clouds
16,Longyearbyen,SJ,78.2186,15.6401,26.44,93,100,11.5,light snow
17,Mar Del Plata,AR,-38.0023,-57.5575,63.09,87,0,21.0,clear sky
18,Eyl,SO,7.9803,49.8164,82.27,72,100,8.52,overcast clouds
19,Bud,US,39.447,-86.1758,64.42,48,100,19.06,light rain
20,Namibe,AO,-15.1961,12.1522,71.42,76,62,3.6,broken clouds
21,Nago,JP,26.5881,127.9761,68.45,64,69,16.4,broken clouds
22,Fortuna,US,40.5982,-124.1573,50.94,61,100,1.99,overcast clouds
23,Tiverton,GB,50.9,-3.4833,50.4,95,16,1.99,few clouds
24,Concepcion Del Oro,MX,24.6333,-101.4167,80.98,4,100,12.71,overcast clouds
25,Koshurnikovo,RU,54.1667,93.3,26.62,96,56,2.75,broken clouds
26,Rikitea,PF,-23.1203,-134.9692,77.56,72,1,16.49,clear sky
27,Tiarei,PF,-17.5333,-149.3333,87.82,71,6,17.76,clear sky
28,Duncan,US,34.5023,-97.9578,91.62,30,0,14.97,clear sky
29,Porlamar,VE,10.958,-63.8491,77.99,84,78,20.54,broken clouds
30,Ayan,RU,56.45,138.1667,25.2,86,93,12.71,overcast clouds
31,Jamestown,US,42.097,-79.2353,62.53,36,100,18.41,overcast clouds
32,Sur,OM,22.5667,59.5289,88.47,33,15,12.97,few clouds
33,Nikolskoye,RU,59.7035,30.7861,38.88,81,96,13.27,overcast clouds
34,Cherskiy,RU,68.75,161.3,16.52,93,98,4.03,overcast clouds
35,Avera,US,33.194,-82.5271,76.51,54,19,5.68,few clouds
36,Hilo,US,19.7297,-155.09,84.27,81,75,12.66,light rain
37,Yellowknife,CA,62.456,-114.3525,21.72,49,75,9.22,broken clouds
38,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,23.02,few clouds
39,Castro,BR,-24.7911,-50.0119,52.09,61,0,2.37,clear sky
40,Paita,PE,-5.0892,-81.1144,73.18,70,27,17.83,scattered clouds
41,Coquimbo,CL,-29.9533,-71.3436,58.73,72,20,10.36,few clouds
42,Punta Arenas,CL,-53.15,-70.9167,48.31,71,20,21.85,few clouds
43,Saint George,US,37.1041,-113.5841,76.78,16,0,9.22,clear sky
44,Porto Santo,PT,33.072,-16.3415,61.18,88,40,12.66,scattered clouds
45,Lebu,CL,-37.6167,-73.65,54.23,87,23,12.44,few clouds
46,Hermanus,ZA,-34.4187,19.2345,53.8,68,67,15.9,broken clouds
47,Kapaa,US,22.0752,-159.319,82.38,71,75,17.27,broken clouds
48,Port Alfred,ZA,-33.5906,26.891,60.4,69,97,7.87,light rain
49,Ilulissat,GL,69.2167,-51.1,15.82,53,75,8.05,broken clouds
50,Deputatskiy,RU,69.3,139.9,8.1,75,100,2.13,overcast clouds
51,Las Palmas,ES,28.4204,-14.0131,63.39,82,0,19.57,clear sky
52,Afsin,TR,38.2477,36.914,43.9,66,4,3.67,clear sky
53,Mataura,NZ,-46.1927,168.8643,52.48,56,64,13.06,broken clouds
54,Lavrentiya,RU,65.5833,-171.0,29.48,95,100,16.8,light snow
55,Saint-Augustin,CA,51.226,-58.6502,31.15,94,100,5.82,overcast clouds
56,Kedrovyy,RU,56.1667,91.8167,34.21,92,80,4.21,broken clouds
57,Zyryanka,RU,65.75,150.85,12.92,81,98,2.04,overcast clouds
58,Angoche,MZ,-16.2325,39.9086,79.32,82,1,4.36,clear sky
59,Sitka,US,57.0531,-135.33,44.49,53,20,8.05,few clouds
