City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Husavik,66.0449,-17.3389,24.71,81,99,7.16,IS,2022-04-07 02:04:31
1,Acarau,-2.8856,-40.12,77.38,85,92,7.31,BR,2022-04-07 02:04:32
2,Korgen,66.0771,13.8153,31.17,85,100,3.69,NO,2022-04-07 02:04:32
3,Copiapo,-27.3667,-70.3333,74.39,23,0,1.72,CL,2022-04-07 02:04:33
4,Avarua,-21.2078,-159.775,84.25,74,20,13.8,CK,2022-04-07 02:04:33
5,Nuuk,64.1835,-51.7216,24.04,93,100,9.93,GL,2022-04-07 02:00:16
6,Leshukonskoye,64.8989,45.7622,29.41,98,100,6.6,RU,2022-04-07 02:04:34
7,Deshnok,27.7986,73.3447,81.84,8,0,11.34,IN,2022-04-07 02:04:34
8,Ballina,-28.8667,153.5667,74.01,92,20,11.81,AU,2022-04-07 02:04:34
9,Kodiak,57.79,-152.4072,36.91,87,75,4.61,US,2022-04-07 02:04:35
10,Vaini,-21.2,-175.2,81.21,75,100,12.21,TO,2022-04-07 02:04:35
11,Airai,-8.9266,125.4092,74.86,51,64,2.55,TL,2022-04-07 02:04:36
12,Hilo,19.7297,-155.09,71.33,92,100,9.22,US,2022-04-07 01:59:31
13,Lima,-12.0432,-77.0282,72.9,72,40,11.5,PE,2022-04-07 02:04:36
14,Busselton,-33.65,115.3333,73.4,44,41,9.44,AU,2022-04-07 02:04:07
15,Atuona,-9.8,-139.0333,79.36,75,16,16.71,PF,2022-04-07 01:57:01
16,Azare,11.6765,10.1948,81.82,12,18,5.99,NG,2022-04-07 02:04:37
17,La Ronge,55.1001,-105.2842,30.96,85,99,4.72,CA,2022-04-07 02:04:37
18,Kargasok,59.0556,80.8572,29.98,80,100,15.48,RU,2022-04-07 02:04:38
19,Bluff,-46.6,168.3333,53.44,58,83,12.03,NZ,2022-04-07 02:04:38
20,Ligayan,4.6533,119.4706,81.23,76,100,7.99,PH,2022-04-07 02:04:39
21,Yellowknife,62.456,-114.3525,34.32,60,20,5.75,CA,2022-04-07 02:00:00
22,Punta Arenas,-53.15,-70.9167,41.11,65,11,3.11,CL,2022-04-07 02:00:46
23,Ribeira Grande,38.5167,-28.7,61.86,90,100,26.73,PT,2022-04-07 02:04:39
24,Voi,-3.3945,38.563,71.47,91,69,2.42,KE,2022-04-07 02:04:40
25,Torbay,47.6666,-52.7314,35.76,91,100,18.41,CA,2022-04-07 02:00:40
26,Rawson,-43.3002,-65.1023,56.53,77,88,17.54,AR,2022-04-07 02:00:58
27,Butaritari,3.0707,172.7902,81.57,76,62,18.81,KI,2022-04-07 02:00:29
28,Itoman,26.1247,127.6694,72.37,54,20,11.5,JP,2022-04-07 02:04:40
29,Sao Joao Da Barra,-21.6403,-41.0511,75.56,84,100,6.4,BR,2022-04-07 02:04:20
30,Maracacume,-2.0428,-45.9592,73.4,99,94,2.77,BR,2022-04-07 02:04:41
31,Moree,-29.4667,149.85,68.02,83,100,8.05,AU,2022-04-07 02:04:41
32,Alofi,-19.0595,-169.9187,80.94,77,98,15.41,NU,2022-04-07 02:04:42
33,Pevek,69.7008,170.3133,-5.15,91,100,7.56,RU,2022-04-07 02:04:42
34,Saint George,37.1041,-113.5841,66.43,9,0,21.85,US,2022-04-07 02:00:31
35,Mehamn,71.0357,27.8492,31.39,87,100,22.39,NO,2022-04-07 02:02:49
36,Pemberton,50.3164,-122.8027,44.96,82,100,3.53,CA,2022-04-07 02:00:39
37,Bella Vista,36.4295,-94.2316,58.1,32,20,11.5,US,2022-04-07 02:00:28
38,Aksarka,66.5606,67.7975,14.68,90,100,6.2,RU,2022-04-07 02:04:43
39,Maceio,-9.6658,-35.7353,72.84,88,0,3.44,BR,2022-04-07 02:04:44
40,Cramlington,55.0865,-1.586,42.62,94,75,4.61,GB,2022-04-07 02:04:44
41,Mar Del Plata,-38.0023,-57.5575,68.09,87,46,1.99,AR,2022-04-07 02:03:53
42,Thompson,55.7435,-97.8558,32.16,93,100,10.36,CA,2022-04-07 02:01:48
43,Kavaratti,10.5669,72.642,82.8,72,37,7.38,IN,2022-04-07 02:04:45
44,Mahebourg,-20.4081,57.7,74.25,70,98,12.01,MU,2022-04-07 02:01:08
45,Ushuaia,-54.8,-68.3,33.37,92,34,2.19,AR,2022-04-07 02:01:41
46,Port Elizabeth,-33.918,25.5701,56.32,80,49,7.0,ZA,2022-04-07 02:01:14
47,Shitanjing,39.2342,106.3439,58.53,14,10,6.67,CN,2022-04-07 02:04:46
48,Bredasdorp,-34.5322,20.0403,56.98,67,91,6.17,ZA,2022-04-07 02:01:36
49,Kapaa,22.0752,-159.319,80.58,77,20,17.27,US,2022-04-07 02:05:46
50,Bambanglipuro,-7.95,110.2833,81.97,75,100,4.29,ID,2022-04-07 02:05:47
51,Klaksvik,62.2266,-6.589,34.72,77,100,42.39,FO,2022-04-07 02:05:47
52,Kanniyakumari,8.0833,77.5667,82.18,75,47,5.57,IN,2022-04-07 02:05:47
53,Oia,40.5426,-8.5386,56.12,81,100,1.63,PT,2022-04-07 02:05:48
54,De Aar,-30.6497,24.0123,48.9,63,36,5.88,ZA,2022-04-07 02:05:48
55,Dikson,73.5069,80.5464,-0.99,99,100,14.47,RU,2022-04-07 02:02:50
56,Poso,-1.3959,120.7524,86.72,59,19,3.27,ID,2022-04-07 02:05:49
57,Nova Russas,-4.7067,-40.5631,71.29,96,100,2.37,BR,2022-04-07 02:05:49
58,Port Lincoln,-34.7333,135.8667,64.02,62,7,14.09,AU,2022-04-07 02:04:27
59,Qaanaaq,77.484,-69.3632,1.13,93,95,6.11,GL,2022-04-07 02:01:47
60,Jamestown,42.097,-79.2353,54.01,74,100,8.05,US,2022-04-07 01:59:59
61,Rikitea,-23.1203,-134.9692,78.6,66,0,11.5,PF,2022-04-07 02:01:46
62,Gilbues,-9.8317,-45.3439,75.02,63,17,2.64,BR,2022-04-07 02:05:50
63,Los Llanos De Aridane,28.6585,-17.9182,56.95,75,100,10.36,ES,2022-04-07 02:05:51
64,Price,39.5994,-110.8107,48.11,18,0,10.36,US,2022-04-07 02:05:51
65,Mogadishu,2.0371,45.3438,80.29,76,36,13.18,SO,2022-04-07 02:05:51
66,Tuatapere,-46.1333,167.6833,54.97,52,41,6.02,NZ,2022-04-07 02:05:52
67,Hobart,-42.8794,147.3294,67.01,50,20,5.75,AU,2022-04-07 02:05:52
68,Leh,34.1667,77.5833,28.26,54,0,4.25,IN,2022-04-07 02:04:02
69,Sitka,57.0531,-135.33,38.21,83,100,16.31,US,2022-04-07 02:02:26
70,Puerto Ayora,-0.7393,-90.3518,77.85,88,87,6.69,EC,2022-04-07 02:05:53
71,Sobolevo,54.4299,31.8996,35.6,98,100,13.18,RU,2022-04-07 02:05:53
72,Qaqortoq,60.7167,-46.0333,28.11,94,100,1.9,GL,2022-04-07 02:05:54
73,Omboue,-1.5746,9.2618,77.7,91,100,8.3,GA,2022-04-07 02:05:54
74,East London,-33.0153,27.9116,60.71,63,8,20.8,ZA,2022-04-07 02:05:55
75,Albany,42.6001,-73.9662,50.68,73,100,1.01,US,2022-04-07 02:00:40
76,Georgetown,5.4112,100.3354,82.33,78,20,4.61,MY,2022-04-07 02:01:29
77,Upernavik,72.7868,-56.1549,-8.09,100,94,6.87,GL,2022-04-07 02:05:55
78,Niksar,40.5917,36.9517,49.77,86,97,2.46,TR,2022-04-07 02:05:56
79,Mataura,-46.1927,168.8643,55.94,43,47,4.7,NZ,2022-04-07 02:05:56
80,Kavieng,-2.5744,150.7967,81.64,78,100,5.14,PG,2022-04-07 02:02:59
81,Leningradskiy,69.3833,178.4167,-1.16,86,100,21.3,RU,2022-04-07 02:05:57
82,Kazachinskoye,57.6953,93.2761,35.78,87,100,12.57,RU,2022-04-07 02:05:57
83,Port Alfred,-33.5906,26.891,57.18,73,52,8.01,ZA,2022-04-07 02:05:58
84,Hermanus,-34.4187,19.2345,51.8,65,93,8.34,ZA,2022-04-07 02:05:58
85,Vanimo,-2.6741,141.3028,85.87,67,98,5.64,PG,2022-04-07 02:05:59
86,Lorengau,-2.0226,147.2712,81.0,84,100,10.94,PG,2022-04-07 02:05:59
87,New Norfolk,-42.7826,147.0587,66.65,34,0,1.74,AU,2022-04-07 02:05:59
88,Victoria,22.2855,114.1577,77.97,64,46,4.0,HK,2022-04-07 02:05:01
89,Batemans Bay,-35.7167,150.1833,63.1,92,100,9.01,AU,2022-04-07 02:06:00
90,San Patricio,28.017,-97.5169,76.91,35,0,20.31,US,2022-04-07 02:06:00
91,Chuy,-33.6971,-53.4616,60.06,82,0,7.65,UY,2022-04-07 02:06:01
92,Agucadoura,41.4318,-8.7804,54.25,84,99,4.43,PT,2022-04-07 02:06:01
93,Chokurdakh,70.6333,147.9167,-1.17,82,2,5.19,RU,2022-04-07 02:02:56
94,Lalibela,12.0333,39.0333,58.53,31,0,7.0,ET,2022-04-07 02:06:02
95,Birjand,32.8663,59.2211,57.67,15,0,6.91,IR,2022-04-07 02:06:02
96,Quesnel,52.9999,-122.5029,42.85,53,100,12.19,CA,2022-04-07 02:07:03
97,Atagay,55.1033,99.3875,45.19,81,100,12.66,RU,2022-04-07 02:07:03
98,Barrow,71.2906,-156.7887,-4.54,91,100,12.71,US,2022-04-07 01:59:24
99,Luderitz,-26.6481,15.1594,61.63,64,100,19.86,NA,2022-04-07 02:07:04
100,Along,28.1667,94.7667,71.58,86,91,0.54,IN,2022-04-07 02:07:05
101,Longyearbyen,78.2186,15.6401,10.24,67,0,9.22,SJ,2022-04-07 02:00:28
102,Bethel,41.3712,-73.414,48.56,90,100,5.75,US,2022-04-07 02:03:49
